index,Unique_vals
MSZoning,5
LotShape,4
LandContour,4
LotConfig,5
LandSlope,3
Neighborhood,25
Condition1,9
BldgType,5
HouseStyle,8
RoofStyle,6
Exterior1st,15
Exterior2nd,16
MasVnrType,4
ExterQual,4
ExterCond,5
Foundation,6
BsmtQual,5
BsmtCond,5
BsmtExposure,5
BsmtFinType1,7
BsmtFinType2,7
HeatingQC,5
CentralAir,2
Electrical,5
KitchenQual,4
Functional,7
FireplaceQu,6
GarageType,7
GarageFinish,4
GarageQual,6
GarageCond,6
PavedDrive,3
SaleType,9
SaleCondition,6
MasVnrArea,444
BsmtFinSF1,991
BsmtFinSF2,272
TotalBsmtSF,1058
BsmtUnfSF,1135
BsmtFullBath,4
BsmtHalfBath,3
GarageCars,6
GarageArea,603